x,y,z
10829.7,53735.41,39.1
10820.63,53743.78,39.0
10807.25,53744.46,39.0
10796.88,53739.02,39.1
10789.47,53733.31,39.0
10939.92,53871.31,48.1
10924.81,53888.37,48.5
10912.03,53897.66,48.5
10915.09,53903.46,60.9
10900.09,53907.51,61.3
10891.69,53891.57,48.0
10960.76,53834.53,48.1
10943.68,53850.75,48.4
10930.11,53863.88,48.2
10911.94,53883.71,48.4
10878.16,53902.11,48.3
10867.59,53916.05,48.3
10800.15,54024.21,48.5
10820.6,54010.57,48.9
10827.92,53999.21,47.7
10851.16,53952.25,48.8
10860.22,53945.79,48.8
10865.06,53937.07,48.7
10872.39,53926.59,48.5
10880.49,53911.32,48.3
10892.43,53903.36,48.5
10934.19,53879.92,48.4
10948.04,53862.68,48.1
10942.9,53876.48,60.0
10938.52,53883.5,60.4
10931.76,53890.33,60.6
10927.47,53896.93,60.9
10887.09,53911.68,61.4
10883.05,53918.8,61.6
10874.38,53929.9,61.5
10868.82,53939.34,61.6
10865.91,53948.67,61.6
10855.28,53956.23,61.6
11117.03,53555.42,95.5
11137.79,53559.1,96.0
11148.47,53559.83,96.1
11093.56,53543.4,96.0
11104.83,53542.81,95.6
11113.64,53545.23,95.5
11124.95,53549.83,95.6
11137.18,53549.64,96.0
11150.49,53551.2,96.3
11159.05,53554.16,96.3
11156.77,53561.69,96.3
11151.81,53566.92,96.4
11144.5,53575.35,96.3
11122.92,53632.99,87.5
11123.34,53613.24,87.6
11036.17,53542.37,86.0
11065.77,53561.19,86.6
11076.95,53560.91,86.8
11089.54,53565.55,87.7
11086.7,53577.0,87.7
11112.57,53598.42,87.6
11105.32,53582.76,87.7
11106.9,53537.2,102.2
11120.6,53542.76,103.6
11133.5,53542.47,104.8
11152.05,53544.46,105.0
11162.93,53549.41,105.2
11165.5,53555.17,105.3
11162.33,53563.3,105.3
11159.09,53568.72,105.6
11150.8,53575.44,106.1
11023.12,53501.28,87.3
11032.6,53516.02,86.8
11037.89,53526.41,86.5
11044.36,53533.37,86.3
11049.93,53539.13,86.2
11055.03,53546.26,86.4
11060.51,53550.01,86.5
11067.2,53553.68,86.6
11074.25,53554.06,86.6
11082.57,53553.4,86.9
11090.74,53555.0,87.3
11096.91,53558.29,87.5
11104.05,53562.78,87.4
11111.1,53568.31,87.7
11116.14,53574.51,87.7
11115.47,53581.55,87.7
11115.3,53590.83,87.6
11125.41,53599.45,87.6
11125.65,53605.61,87.6
11123.61,53620.03,87.6
11129.08,53622.17,97.7
11130.16,53611.62,97.6
11132.29,53605.28,96.0
11133.39,53597.15,96.0
11122.34,53585.41,96.0
11124.12,53577.53,96.0
11125.04,53571.41,96.2
11119.9,53565.28,96.0
11114.68,53561.19,96.0
11106.39,53557.34,96.1
11099.92,53553.81,96.1
11095.37,53551.61,96.0
11092.28,53548.26,96.0
11081.39,53548.45,96.0
11068.89,53546.1,95.5
10830.83,54155.1,74.8
10837.79,54144.91,74.8
10860.42,54095.97,74.2
10844.88,54107.86,73.9
10878.88,54064.42,74.2
10896.4,53985.77,73.3
10897.81,54006.41,73.4
10895.09,54027.01,73.5
10890.55,54036.98,73.7
10892.1,54049.03,73.5
10892.72,54062.09,73.8
10888.16,54073.35,74.2
10881.81,54085.7,74.4
10872.82,54099.08,74.4
10871.9,54105.62,74.5
10864.29,54115.54,74.5
10862.83,54121.5,74.6
10856.49,54130.87,74.7
10848.85,54138.37,74.9
10844.72,54149.24,75.0
10848.45,54168.67,86.5
10851.09,54157.77,86.6
10855.92,54150.22,86.5
10860.1,54141.29,86.6
10866.1,54129.48,86.4
10871.41,54120.68,86.5
10875.92,54109.8,86.5
10882.79,54095.49,86.6
10887.48,54081.29,86.6
10899.41,54062.5,87.3
10900.44,54048.55,87.4
10897.42,54036.39,89.1
10900.86,54024.53,88.1
10907.15,54010.88,90.1
10905.38,53994.39,91.0
10904.63,53991.42,88.9
11078.08,53921.53,119.8
11062.61,53925.01,120.5
11064.44,53945.33,120.4
11059.07,53976.41,121.3
11041.92,53955.12,120.6
11056.79,53957.67,120.5
11061.54,53972.45,120.5
11067.59,53962.65,120.5
11074.77,53954.25,120.4
11081.37,53944.08,120.3
11085.6,53930.3,120.2
11087.39,53922.1,120.1
11084.71,53909.7,120.4
11086.08,53901.45,120.5
11092.0,53907.71,132.4
11093.15,53921.74,132.3
11091.76,53932.25,132.2
11089.39,53943.24,132.5
11081.64,53952.96,132.6
11074.14,53961.07,132.6
11076.14,53989.45,132.6
11098.51,54007.37,132.4
11095.64,53991.43,132.3
11114.47,53981.56,132.8
11086.51,53966.44,132.5
11120.25,53947.25,132.5
11130.93,53968.96,131.9
11113.03,53959.86,132.0
11107.65,53936.57,132.5
11133.75,53946.25,132.1
11130.05,53926.37,131.9
11094.2,53951.42,132.5
11112.21,53921.79,132.1
11136.01,53912.07,132.3
11165.84,53880.62,133.0
11162.18,53889.36,133.0
11158.39,53894.58,133.0
11151.35,53903.07,132.9
11148.15,53909.09,132.3
11149.05,53918.25,133.2
11146.02,53930.61,132.3
11145.11,53944.87,132.2
11142.28,53955.17,132.2
11136.8,53969.11,132.0
11129.05,53979.42,132.6
11121.77,53988.18,132.6
11116.65,53997.3,132.6
11107.81,54011.96,132.5
11101.13,54023.44,132.5
11091.17,54031.25,132.6
11083.95,54037.21,132.7
11075.23,54045.13,132.8
11066.16,54051.8,132.5
11053.53,54063.58,132.2
11043.21,54071.69,132.0
11034.77,54075.83,132.1
11044.68,54073.4,134.2
11057.04,54067.57,136.6
11071.5,54057.68,139.6
11080.13,54052.27,141.0
11090.04,54043.43,142.8
11097.63,54036.63,145.0
11108.51,54026.66,145.0
11112.48,54019.73,145.2
11118.58,54006.5,144.4
